vgps_id,name,raw_label,canonical_category,strategic_bucket,chain_brand,score,tier,weburl,listing_url
33241,Crowbar Cafe & Saloon,EAT & DRINK,Dining,Dining,false,0,D,https://www.shoshonevillage.com/shoshone-crowbar-cafe-saloon.html,https://www.visitgreaterpalmsprings.com/listing/crowbar-cafe-%26-saloon/33241/
25992,Dana Samson Photography,WEDDINGS,Weddings,Meetings & Events,false,0,D,https://www.danasamsonphoto.com,https://www.visitgreaterpalmsprings.com/listing/dana-samson-photography/25992/
6830,Daily Grill,EAT & DRINK,Dining,Dining,false,0,D,https://www.dailygrill.com/palm-desert-ca,https://www.visitgreaterpalmsprings.com/listing/daily-grill/6830/
6685,Date at Renaissance Palm Springs Hotel,EAT & DRINK,Dining,Dining,true,0,D,https://renaissancehotelpalmsprings.com/,https://www.visitgreaterpalmsprings.com/listing/date-at-renaissance-palm-springs-hotel/6685/
28799,Dateland Park,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.coachella.org/residents/parks-and-recreation/dateland-park,https://www.visitgreaterpalmsprings.com/listing/dateland-park/28799/
25834,Courtyard by Marriott - Palm Desert,GROUP VENUES,Group Venues,Meetings & Events,true,0,D,https://www.marriott.com/ctdcy,https://www.visitgreaterpalmsprings.com/listing/courtyard-by-marriott-palm-desert/25834/
34307,Davis Field,ACTIVITIES & RECREATION,Activities,Experiences,false,0,D,https://www.indio.org/departments/community-services/city-parks,https://www.visitgreaterpalmsprings.com/listing/davis-field/34307/
33528,Days Inn Barstow,PLACES TO STAY,Lodging,Lodging,true,0,D,https://www.daysinn.com/hotels/california/barstow/days-inn-barstow/hotel-overview,https://www.visitgreaterpalmsprings.com/listing/days-inn-barstow/33528/
6435,Courtyard by Marriott - Palm Desert,STAY,Lodging,Lodging,true,0,D,https://www.marriott.com/ctdcy,https://www.visitgreaterpalmsprings.com/listing/courtyard-by-marriott-palm-desert/6435/
6660,Courtyard by Marriott - Palm Springs,STAY,Lodging,Lodging,true,0,D,https://www.marriott.com/pspch,https://www.visitgreaterpalmsprings.com/listing/courtyard-by-marriott-palm-springs/6660/
25835,Courtyard by Marriott - Palm Springs,GROUP VENUES,Group Venues,Meetings & Events,true,0,D,https://www.marriott.com/pspch,https://www.visitgreaterpalmsprings.com/listing/courtyard-by-marriott-palm-springs/25835/
34458,Del Rey Restaurant & Bar at Villa Royale,EAT & DRINK,Dining,Dining,false,0,D,https://delreypalmsprings.com/,https://www.visitgreaterpalmsprings.com/listing/del-rey-restaurant-%26-bar-at-villa-royale/34458/
33532,Del Yermo RV Park,PLACES TO STAY,Lodging,Lodging,false,0,D,https://www.delyermorvpark.com,https://www.visitgreaterpalmsprings.com/listing/del-yermo-rv-park/33532/
25899,Delar and Mod Mart,SHOPPING,Shopping,Retail & Services,false,0,D,https://modmart-palm-springs-furniture-store.business.site/,https://www.visitgreaterpalmsprings.com/listing/delar-and-mod-mart/25899/
29274,Days Inn Indio,STAY,Lodging,Lodging,true,0,D,https://www.daysinn.com/hotels/california/indio/days-inn-indio/hotel-overview,https://www.visitgreaterpalmsprings.com/listing/days-inn-indio/29274/
